time,open,high,low,close,volume
2022-06-16,5.8,6.2,5.8,6.2,403
2022-06-17,5.3,5.3,5.3,5.3,1000
2022-06-20,5.9,5.9,5.9,5.9,100
2022-06-21,6.0,6.0,6.0,6.0,100
2022-06-22,5.2,6.0,5.2,5.2,6500
2022-06-23,5.7,5.7,5.7,5.7,100
2022-06-24,5.7,5.7,5.7,5.7,0
2022-06-27,5.6,5.6,5.6,5.6,2200
2022-06-28,5.6,5.6,5.6,5.6,1500
2022-06-29,5.5,5.6,5.5,5.6,1400
2022-06-30,5.5,5.5,5.5,5.5,300
2022-07-01,5.5,5.5,5.5,5.5,0
2022-07-04,5.5,5.5,5.5,5.5,0
2022-07-05,5.5,5.5,5.5,5.5,0
2022-07-06,5.2,5.2,5.2,5.2,3000
2022-07-07,5.0,5.0,4.8,4.8,1500
2022-07-08,4.9,4.9,4.9,4.9,0
2022-07-11,4.9,5.0,4.9,5.0,2100
2022-07-12,4.9,4.9,4.9,4.9,0
2022-07-13,4.5,4.8,4.4,4.8,13600
2022-07-14,5.0,5.0,4.9,4.9,700
2022-07-15,5.0,5.0,4.9,5.0,2200
2022-07-18,4.3,4.8,4.3,4.8,800
2022-07-19,5.0,5.0,4.9,5.0,6900
2022-07-20,5.2,5.2,5.2,5.2,700
2022-07-21,5.2,5.2,5.2,5.2,300
2022-07-22,5.0,5.0,5.0,5.0,1000
2022-07-25,4.7,4.9,4.7,4.9,200
2022-07-26,4.8,4.8,4.8,4.8,0
2022-07-27,4.8,4.8,4.8,4.8,0
2022-07-28,5.2,5.2,5.2,5.2,300
2022-07-29,5.2,5.2,5.2,5.2,0
2022-08-01,5.2,5.2,5.2,5.2,2600
2022-08-02,5.2,5.3,5.2,5.3,900
2022-08-03,5.3,5.3,5.3,5.3,0
2022-08-04,5.3,5.3,5.2,5.3,1300
2022-08-05,5.3,5.3,5.3,5.3,300
2022-08-08,5.4,5.4,5.2,5.2,2000
2022-08-09,5.4,5.4,5.4,5.4,100
2022-08-10,5.4,5.4,5.4,5.4,100
2022-08-11,5.4,5.4,5.3,5.4,5400
2022-08-12,5.4,5.4,5.3,5.3,400
2022-08-15,5.4,5.4,5.4,5.4,0
2022-08-16,5.4,5.4,5.4,5.4,0
2022-08-17,5.4,5.5,5.4,5.5,8000
2022-08-18,6.0,6.0,5.4,5.4,5700
2022-08-19,5.4,5.4,5.4,5.4,0
2022-08-22,5.6,5.6,5.4,5.6,700
2022-08-23,5.3,5.3,5.3,5.3,100
2022-08-24,5.8,5.8,5.5,5.8,2600
2022-08-25,5.4,5.7,5.4,5.7,700
2022-08-26,5.4,5.5,5.4,5.5,300
2022-08-29,5.3,5.6,5.0,5.0,300
2022-08-30,5.6,5.6,5.6,5.6,100
2022-08-31,5.6,5.6,5.6,5.6,0
2022-09-05,5.6,5.6,5.6,5.6,0
2022-09-06,5.2,5.2,5.2,5.2,100
2022-09-07,5.9,5.9,5.2,5.2,44000
2022-09-08,4.8,5.8,4.8,5.5,1500
2022-09-09,5.4,5.7,5.0,5.7,3500
2022-09-12,5.4,5.4,4.9,5.2,8300
2022-09-13,5.3,5.3,5.3,5.3,0
2022-09-14,5.8,5.8,5.8,5.8,100
2022-09-15,5.1,5.5,5.0,5.2,11400
2022-09-16,5.2,5.2,5.2,5.2,1300
2022-09-19,5.2,5.2,5.2,5.2,200
2022-09-20,5.0,5.0,5.0,5.0,1700
2022-09-21,5.0,5.0,5.0,5.0,0
2022-09-22,4.5,5.5,4.5,5.5,200
2022-09-23,5.0,5.0,5.0,5.0,0
2022-09-26,5.0,5.0,4.6,4.6,1100
2022-09-27,4.4,4.4,4.4,4.4,800
2022-09-28,5.0,5.0,5.0,5.0,100
2022-09-29,5.0,5.0,5.0,5.0,1800
2022-09-30,4.8,4.8,4.8,4.8,1000
2022-10-03,4.2,5.0,4.2,5.0,200
2022-10-04,5.0,5.0,5.0,5.0,101
2022-10-05,5.0,5.0,5.0,5.0,0
2022-10-06,5.0,5.0,5.0,5.0,0
2022-10-07,4.9,4.9,4.3,4.3,400
2022-10-10,4.6,4.6,4.3,4.3,3000
2022-10-11,4.0,4.0,4.0,4.0,5600
2022-10-12,4.0,4.2,4.0,4.2,2800
2022-10-13,4.6,4.6,4.6,4.6,100
2022-10-14,4.6,4.6,4.1,4.1,3200
2022-10-17,4.2,4.2,4.2,4.2,0
2022-10-18,4.8,4.8,4.8,4.8,100
2022-10-19,4.1,4.9,4.1,4.9,700
2022-10-20,4.9,4.9,4.3,4.3,400
2022-10-21,4.6,4.6,4.6,4.6,0
2022-10-24,4.0,4.0,4.0,4.0,200
2022-10-25,4.1,4.1,4.1,4.1,1000
2022-10-26,3.5,3.5,3.5,3.5,100
2022-10-27,4.0,4.0,4.0,4.0,100
2022-10-28,4.6,4.6,4.6,4.6,100
2022-10-31,4.6,4.6,4.6,4.6,0
2022-11-01,4.6,4.6,4.6,4.6,0
2022-11-02,4.6,4.6,4.6,4.6,0
2022-11-03,4.6,4.6,4.6,4.6,0
2022-11-04,4.6,4.6,4.6,4.6,0
2022-11-07,4.5,4.5,4.5,4.5,200
2022-11-08,4.5,4.5,4.5,4.5,0
2022-11-09,5.1,5.1,5.1,5.1,100
2022-11-10,5.1,5.1,5.1,5.1,0
2022-11-11,5.1,5.1,5.1,5.1,0
2022-11-14,4.4,4.4,4.4,4.4,100
2022-11-15,4.4,4.4,4.4,4.4,0
2022-11-16,4.4,4.4,4.4,4.4,0
2022-11-17,4.4,4.4,4.4,4.4,100
2022-11-18,4.4,4.4,4.4,4.4,100
2022-11-21,4.4,4.4,4.4,4.4,0
2022-11-22,4.4,4.4,4.4,4.4,0
2022-11-23,4.4,4.4,4.4,4.4,0
2022-11-24,4.4,4.4,4.4,4.4,0
2022-11-25,4.4,4.4,4.4,4.4,0
2022-11-28,4.4,4.4,4.4,4.4,0
2022-11-29,3.8,3.8,3.8,3.8,100
2022-11-30,3.8,3.8,3.8,3.8,0
2022-12-01,3.8,3.8,3.8,3.8,0
2022-12-02,4.0,4.0,4.0,4.0,100
2022-12-05,4.6,4.6,4.5,4.5,200
2022-12-06,4.6,4.6,4.6,4.6,0
2022-12-07,4.6,4.6,4.6,4.6,0
2022-12-08,4.2,4.6,4.2,4.6,600
2022-12-09,4.5,4.5,4.5,4.5,0
2022-12-12,4.5,4.5,4.5,4.5,1
2022-12-13,4.5,4.5,4.5,4.5,0
2022-12-14,4.5,4.5,4.5,4.5,0
2022-12-15,4.9,4.9,4.9,4.9,100
2022-12-16,5.3,5.3,5.3,5.3,100
2022-12-19,5.6,5.6,5.6,5.6,100
2022-12-20,5.6,5.6,5.6,5.6,0
2022-12-21,5.6,5.6,5.6,5.6,0
2022-12-22,5.6,5.6,5.6,5.6,0
2022-12-23,5.5,5.5,5.5,5.5,200
2022-12-26,5.5,5.5,5.4,5.4,700
2022-12-27,5.5,5.5,5.5,5.5,0
2022-12-28,5.5,5.5,5.5,5.5,0
2022-12-29,5.9,5.9,5.9,5.9,100
2022-12-30,5.1,5.1,5.1,5.1,100
2023-01-03,5.1,5.1,5.1,5.1,0
2023-01-04,4.4,4.4,4.4,4.4,300
2023-01-05,4.0,4.0,3.8,3.9,400
2023-01-06,3.6,4.3,3.6,4.3,2800
2023-01-09,4.1,4.1,4.1,4.1,100
2023-01-10,4.1,4.1,4.1,4.1,0
2023-01-11,3.8,4.0,3.8,4.0,200
2023-01-12,4.0,4.0,4.0,4.0,5000
2023-01-13,4.0,4.0,4.0,4.0,100
2023-01-16,4.0,4.0,4.0,4.0,0
2023-01-17,3.4,4.0,3.4,3.5,400
2023-01-18,3.6,3.6,3.6,3.6,0
2023-01-19,3.6,3.6,3.6,3.6,0
2023-01-27,4.1,4.1,4.1,4.1,100
2023-01-30,4.1,4.1,4.1,4.1,0
2023-01-31,4.1,4.1,4.1,4.1,700
2023-02-01,4.1,4.1,4.1,4.1,19
2023-02-02,4.1,4.1,4.1,4.1,100
2023-02-03,4.1,4.1,4.1,4.1,0
2023-02-06,4.1,4.1,4.1,4.1,0
2023-02-07,4.1,4.1,4.1,4.1,0
2023-02-08,4.3,4.3,4.3,4.3,100
2023-02-09,4.3,4.3,4.3,4.3,1
2023-02-10,4.3,4.3,4.3,4.3,0
2023-02-13,4.3,4.3,4.3,4.3,0
2023-02-14,4.3,4.3,4.3,4.3,0
2023-02-15,4.3,4.3,4.3,4.3,0
2023-02-16,4.3,4.3,4.3,4.3,0
2023-02-17,4.3,4.3,4.3,4.3,0
2023-02-20,4.3,4.3,4.3,4.3,0
2023-02-21,4.3,4.3,4.3,4.3,0
2023-02-22,4.3,4.3,4.3,4.3,0
2023-02-23,4.3,4.3,4.3,4.3,0
2023-02-24,4.3,4.3,4.3,4.3,0
2023-02-27,4.3,4.3,4.3,4.3,0
2023-02-28,3.7,3.7,3.7,3.7,1200
2023-03-01,3.7,3.7,3.7,3.7,0
2023-03-02,3.7,3.7,3.7,3.7,100
2023-03-03,3.7,3.7,3.7,3.7,0
2023-03-06,4.0,4.0,3.9,3.9,700
2023-03-07,4.0,4.0,3.6,3.6,600
2023-03-08,3.7,3.7,3.7,3.7,300
2023-03-09,3.7,3.7,3.3,3.3,1300
2023-03-10,3.6,3.6,3.6,3.6,0
2023-03-13,3.6,3.6,3.6,3.6,0
2023-03-14,3.6,3.6,3.6,3.6,0
2023-03-15,3.6,3.6,3.6,3.6,0
2023-03-16,3.6,3.6,3.6,3.6,300
2023-03-17,3.6,3.6,3.6,3.6,0
2023-03-20,3.6,3.6,3.6,3.6,0
2023-03-21,3.1,3.2,3.1,3.2,400
2023-03-22,3.2,3.2,3.2,3.2,0
2023-03-23,3.3,3.3,3.3,3.3,700
2023-03-24,3.6,3.6,3.6,3.6,100
2023-03-27,3.7,3.8,3.7,3.8,700
2023-03-28,4.1,4.1,4.0,4.0,700
2023-03-29,4.4,4.4,4.4,4.4,102
2023-03-30,4.6,4.6,4.6,4.6,100
2023-03-31,4.6,4.6,4.6,4.6,100
2023-04-03,4.9,4.9,4.9,4.9,100
2023-04-04,4.9,4.9,4.9,4.9,0
2023-04-05,4.2,4.2,4.2,4.2,2300
2023-04-06,4.2,4.2,4.2,4.2,0
2023-04-07,4.2,4.2,4.2,4.2,0
2023-04-10,4.2,4.2,4.2,4.2,0
2023-04-11,4.6,4.6,4.6,4.6,100
2023-04-12,4.3,4.4,4.3,4.4,1100
2023-04-13,4.3,4.3,4.3,4.3,0
2023-04-14,4.3,4.3,4.3,4.3,0
2023-04-17,4.3,4.3,4.3,4.3,0
2023-04-18,4.3,4.3,4.3,4.3,0
2023-04-19,4.3,4.3,4.3,4.3,0
2023-04-20,4.3,4.3,4.3,4.3,0
2023-04-21,4.3,4.3,4.3,4.3,0
2023-04-24,4.3,4.3,4.3,4.3,0
2023-04-25,4.3,4.3,4.3,4.3,0
2023-04-26,4.3,4.3,4.3,4.3,0
2023-04-27,4.3,4.3,4.3,4.3,0
2023-04-28,4.3,4.3,4.3,4.3,0
2023-05-04,4.3,4.3,4.3,4.3,0
2023-05-05,4.3,4.3,4.3,4.3,0
2023-05-08,4.3,4.3,4.3,4.3,1
2023-05-09,4.3,4.3,4.3,4.3,0
2023-05-10,4.3,4.3,4.3,4.3,0
2023-05-11,4.3,4.3,4.3,4.3,0
2023-05-12,3.7,4.2,3.7,4.1,9900
2023-05-15,4.2,4.3,4.2,4.3,2100
2023-05-16,4.3,4.3,4.3,4.3,100
2023-05-17,3.7,3.8,3.7,3.8,6700
2023-05-18,4.0,4.2,3.7,4.2,2800
2023-05-19,4.2,4.2,3.7,3.9,401
2023-05-22,4.0,4.0,4.0,4.0,200
2023-05-23,4.0,4.0,3.4,3.9,8700
2023-05-24,3.9,3.9,3.9,3.9,1902
2023-05-25,4.0,4.0,4.0,4.0,300
2023-05-26,4.0,4.0,3.9,3.9,420
2023-05-29,3.9,3.9,3.9,3.9,2500
2023-05-30,3.7,3.9,3.7,3.9,5200
2023-05-31,3.9,4.0,3.9,4.0,7331
2023-06-01,4.0,4.0,4.0,4.0,4000
2023-06-02,4.2,4.2,4.2,4.2,100
2023-06-05,4.2,4.3,4.1,4.1,2200
2023-06-06,4.2,4.2,4.2,4.2,0
2023-06-07,4.2,4.2,4.2,4.2,200
2023-06-08,4.2,4.2,4.2,4.2,2800
2023-06-09,4.1,4.1,4.1,4.1,900
2023-06-12,4.1,4.1,4.1,4.1,0
2023-06-13,3.6,3.6,3.6,3.6,6100
2023-06-14,4.1,4.1,4.1,4.1,20500
2023-06-15,4.7,4.7,4.1,4.1,12100
2023-06-16,4.4,4.5,4.1,4.1,16200
2023-06-19,4.1,4.2,3.7,3.7,1400
2023-06-20,3.8,3.9,3.4,3.6,12900
2023-06-21,3.9,4.1,3.9,4.1,3900
2023-06-22,4.0,4.6,4.0,4.1,12722
2023-06-23,4.3,4.3,4.0,4.1,4014
2023-06-26,4.0,4.0,4.0,4.0,102
2023-06-27,4.1,4.1,3.8,3.9,13709
2023-06-28,3.9,3.9,3.9,3.9,346
2023-06-29,3.9,3.9,3.8,3.8,6106
2023-06-30,3.9,3.9,3.8,3.8,651
2023-07-03,3.8,3.8,3.7,3.7,902
2023-07-04,3.9,3.9,3.9,3.9,206
2023-07-05,3.9,3.9,3.7,3.8,3314
2023-07-06,3.8,3.8,3.8,3.8,0
2023-07-07,3.7,3.7,3.7,3.7,1200
2023-07-10,3.7,3.9,3.7,3.9,4100
2023-07-11,3.9,3.9,3.9,3.9,3600
2023-07-12,3.9,3.9,3.9,3.9,100
2023-07-13,3.9,4.0,3.9,4.0,500
2023-07-14,4.0,4.0,3.8,3.8,3900
2023-07-17,3.8,3.9,3.8,3.9,403
2023-07-18,3.9,3.9,3.8,3.8,2100
2023-07-19,3.8,3.8,3.8,3.8,4600
2023-07-20,3.8,3.8,3.8,3.8,0
2023-07-21,3.9,3.9,3.9,3.9,100
2023-07-24,3.7,3.9,3.7,3.7,4700
2023-07-25,3.8,3.9,3.8,3.9,13300
2023-07-26,3.9,4.3,3.8,4.0,11408
2023-07-27,4.1,4.1,3.9,3.9,6400
2023-07-28,3.9,4.1,3.9,4.1,5001
2023-07-31,3.9,4.0,3.9,4.0,301
2023-08-01,4.2,4.4,4.2,4.4,25973
2023-08-02,5.0,5.0,5.0,5.0,4207
2023-08-03,5.7,5.7,5.7,5.7,3500
2023-08-04,6.5,6.5,6.5,6.5,2900
2023-08-07,7.4,7.4,7.4,7.4,23087
2023-08-08,8.5,8.5,8.5,8.5,4500
2023-08-09,9.7,9.7,9.7,9.7,10100
2023-08-10,11.1,11.1,11.1,11.1,12400
2023-08-11,12.7,12.7,9.5,12.7,193760
2023-08-14,13.5,13.7,12.1,12.4,29130
2023-08-15,13.4,13.4,11.4,11.4,21156
2023-08-16,10.1,11.4,10.1,10.3,73909
2023-08-17,10.2,11.0,10.2,10.3,18201
2023-08-18,9.5,9.7,9.1,9.1,63242
2023-08-21,7.9,9.0,7.9,8.5,42633
2023-08-22,9.0,9.0,8.1,8.7,10106
2023-08-23,9.2,9.2,8.0,8.7,19201
2023-08-24,8.6,9.0,8.0,8.0,19937
2023-08-25,8.4,8.4,7.9,8.0,10904
2023-08-28,8.0,8.0,7.5,7.9,17394
2023-08-29,7.9,7.9,7.5,7.6,24563
2023-08-30,7.6,7.7,7.3,7.3,21140
2023-08-31,7.4,7.4,6.9,7.2,24016
2023-09-05,6.9,7.7,6.9,7.6,20258
2023-09-06,7.6,7.6,7.0,7.4,21789
2023-09-07,7.3,7.4,7.1,7.4,25715
2023-09-08,7.5,8.3,7.5,8.3,26922
2023-09-11,9.3,9.3,9.1,9.3,58105
2023-09-12,10.6,10.6,9.0,9.9,75159
2023-09-13,11.0,11.0,9.1,9.8,29184
2023-09-14,9.9,9.9,8.6,8.9,10200
2023-09-15,9.0,9.0,8.0,8.9,9704
2023-09-18,8.0,8.2,7.7,7.8,13100
2023-09-19,7.9,8.4,7.9,8.3,18600
2023-09-20,8.8,8.8,8.1,8.1,7800
2023-09-21,8.5,8.5,7.8,8.1,8000
2023-09-22,8.1,8.1,7.0,7.5,17646
2023-09-25,7.0,7.4,6.5,7.4,20003
2023-09-26,6.7,6.7,6.7,6.7,2101
2023-09-27,6.6,7.0,6.5,6.6,4840
2023-09-28,6.6,6.6,5.7,6.2,13300
2023-09-29,6.1,6.1,5.8,6.1,5400
2023-10-02,6.3,6.7,6.3,6.7,7161
2023-10-03,7.7,7.7,7.1,7.7,28836
2023-10-04,8.0,8.8,7.1,7.7,7774
2023-10-05,7.0,8.1,6.9,7.7,10400
2023-10-06,7.0,7.0,6.8,6.9,9073
2023-10-09,6.9,7.9,6.9,7.2,5100
2023-10-10,7.5,7.5,7.2,7.3,2926
2023-10-11,7.5,7.5,7.4,7.5,5600
2023-10-12,8.0,8.0,7.5,7.6,5610
2023-10-13,7.6,7.6,6.9,6.9,14612
2023-10-16,7.1,7.1,6.8,6.8,2400
2023-10-17,7.0,7.1,6.8,7.1,1410
2023-10-18,7.0,7.0,6.2,6.3,2800
2023-10-19,6.1,6.6,5.8,6.2,2900
2023-10-20,6.0,7.0,6.0,7.0,6200
2023-10-23,7.0,7.0,7.0,7.0,0
2023-10-24,7.0,7.5,6.7,6.7,2500
2023-10-25,6.3,6.7,6.2,6.6,4000
2023-10-26,6.5,6.9,6.2,6.7,4200
2023-10-27,6.3,6.6,6.3,6.4,7200
2023-10-30,6.2,6.7,6.0,6.5,8100
2023-10-31,7.0,7.0,6.1,6.6,7400
2023-11-01,6.1,6.3,6.1,6.2,1800
2023-11-02,6.2,6.7,6.2,6.6,1400
2023-11-03,6.3,6.5,6.3,6.5,1000
2023-11-06,6.4,6.6,6.4,6.4,1948
2023-11-07,6.5,6.6,6.5,6.5,1900
2023-11-08,6.5,6.5,6.5,6.5,2395
2023-11-09,7.1,7.1,6.9,7.0,2148
2023-11-10,6.8,6.8,6.8,6.8,300
2023-11-13,6.8,6.8,6.5,6.5,1600
2023-11-14,6.7,6.7,6.4,6.5,1700
2023-11-15,6.8,6.8,6.2,6.5,14001
2023-11-16,6.7,6.7,6.2,6.2,1500
2023-11-17,6.3,6.8,6.1,6.7,11765
2023-11-20,6.4,6.4,6.4,6.4,700
2023-11-21,6.4,6.4,5.9,5.9,2600
2023-11-22,6.2,6.5,6.2,6.5,3600
2023-11-23,6.3,6.4,6.0,6.4,14900
2023-11-24,6.1,6.1,6.1,6.1,100
2023-11-27,6.2,6.3,6.1,6.3,800
2023-11-28,6.1,6.1,5.3,6.1,7200
2023-11-29,6.2,6.2,6.0,6.0,1000
2023-11-30,6.2,6.2,6.0,6.0,300
2023-12-01,6.1,6.1,6.1,6.1,400
2023-12-04,6.2,6.2,6.1,6.1,3900
2023-12-05,6.3,6.3,6.3,6.3,1400
2023-12-06,6.2,6.2,6.0,6.0,1200
2023-12-07,6.3,6.3,5.6,5.6,2100
2023-12-08,6.1,6.1,5.7,6.1,5300
2023-12-11,5.8,5.9,5.8,5.9,300
2023-12-12,5.9,6.2,5.9,6.2,4900
2023-12-13,6.0,6.0,5.9,6.0,800
2023-12-14,6.0,6.0,6.0,6.0,0
2023-12-15,6.0,6.0,5.7,5.9,600
2023-12-18,5.9,5.9,5.9,5.9,0
2023-12-19,5.9,5.9,5.9,5.9,0
2023-12-20,5.9,5.9,5.9,5.9,500
2023-12-21,5.9,5.9,5.9,5.9,703
2023-12-22,5.7,5.7,5.5,5.7,6114
2023-12-25,5.9,5.9,5.9,5.9,1800
2023-12-26,5.8,5.9,5.8,5.9,700
2023-12-27,5.8,5.8,5.7,5.7,800
2023-12-28,5.8,5.8,5.8,5.8,117
2023-12-29,5.6,5.8,5.5,5.8,2700
2024-01-02,6.0,6.3,6.0,6.0,12017
2024-01-03,6.0,6.1,6.0,6.1,400
2024-01-04,6.1,6.1,5.9,5.9,1400
2024-01-05,5.9,5.9,5.7,5.7,3400
2024-01-08,5.9,5.9,5.9,5.9,1600
2024-01-09,5.9,5.9,5.9,5.9,3000
2024-01-10,6.0,6.0,6.0,6.0,2060
2024-01-11,5.9,5.9,5.9,5.9,1200
2024-01-12,5.9,6.0,5.8,6.0,1900
2024-01-15,5.7,5.7,5.7,5.7,300
2024-01-16,5.7,5.7,5.7,5.7,0
2024-01-17,5.7,5.7,5.7,5.7,800
2024-01-18,5.9,5.9,5.9,5.9,600
2024-01-19,5.9,6.2,5.6,6.2,2400
2024-01-22,6.1,6.4,5.7,5.7,5400
2024-01-23,5.8,5.9,5.8,5.9,600
2024-01-24,6.0,6.0,6.0,6.0,100
2024-01-25,5.7,5.8,5.6,5.7,1900
2024-01-26,5.7,5.7,5.7,5.7,0
2024-01-29,6.0,6.0,5.9,5.9,700
2024-01-30,6.0,6.0,5.9,5.9,500
2024-01-31,6.7,6.7,6.5,6.6,500
2024-02-01,5.8,5.8,5.8,5.8,1300
2024-02-02,5.8,6.0,5.7,6.0,7200
2024-02-05,5.8,5.8,5.8,5.8,0
2024-02-06,6.2,6.2,6.2,6.2,100
2024-02-07,6.2,6.2,6.2,6.2,0
2024-02-15,6.2,6.2,6.2,6.2,0
2024-02-16,6.2,6.2,6.2,6.2,0
2024-02-19,6.1,6.1,6.1,6.1,324
2024-02-20,5.5,5.5,5.5,5.5,504
2024-02-21,5.2,6.1,5.2,5.8,1200
2024-02-22,5.7,5.7,5.7,5.7,1800
2024-02-23,5.7,5.7,5.7,5.7,500
2024-02-26,5.5,5.5,5.5,5.5,300
2024-02-27,5.5,5.6,5.5,5.6,8300
2024-02-28,5.5,5.8,5.5,5.8,4100
2024-02-29,5.5,5.8,5.5,5.8,500
2024-03-01,5.7,5.7,5.7,5.7,1400
2024-03-04,5.7,5.7,5.6,5.6,3900
2024-03-05,5.6,5.6,5.6,5.6,0
2024-03-06,5.6,5.7,5.5,5.6,800
2024-03-07,5.6,5.9,5.6,5.9,1500
2024-03-08,5.7,5.7,5.5,5.6,1000
2024-03-11,5.5,5.6,5.5,5.6,2500
2024-03-12,5.6,5.6,5.6,5.6,3000
2024-03-13,5.6,5.8,5.6,5.8,3600
2024-03-14,5.5,5.8,5.5,5.8,14100
2024-03-15,5.8,5.8,5.5,5.5,3200
2024-03-18,5.7,5.7,5.5,5.7,4200
2024-03-19,5.7,5.7,5.7,5.7,900
2024-03-20,5.7,5.7,5.7,5.7,0
2024-03-21,5.5,5.5,5.5,5.5,200
2024-03-22,5.5,5.6,5.5,5.5,15700
2024-03-25,5.6,5.6,5.6,5.6,1600
2024-03-26,5.6,5.6,5.6,5.6,1500
2024-03-27,5.6,5.6,5.5,5.6,6300
2024-03-28,5.6,5.6,5.6,5.6,212
2024-03-29,5.6,5.6,5.6,5.6,0
2024-04-01,5.6,5.6,5.6,5.6,500
2024-04-02,5.6,5.6,5.5,5.5,3700
2024-04-03,5.6,5.7,5.6,5.7,500
2024-04-04,5.5,5.6,5.4,5.4,5460
2024-04-05,5.4,5.4,5.1,5.1,5400
2024-04-08,5.2,5.2,5.2,5.2,1200
2024-04-09,5.1,5.2,5.0,5.2,5820
2024-04-10,5.2,5.2,5.2,5.2,200
2024-04-11,5.2,5.2,5.2,5.2,35
2024-04-12,5.2,5.2,5.2,5.2,1200
2024-04-15,5.8,5.8,5.0,5.1,2010
2024-04-16,5.2,5.2,5.0,5.0,600
2024-04-17,5.1,5.1,5.1,5.1,0
2024-04-19,5.0,5.0,5.0,5.0,600
2024-04-22,4.9,5.0,4.9,5.0,301
2024-04-23,5.0,5.0,5.0,5.0,0
2024-04-24,4.9,4.9,4.8,4.8,1703
2024-04-25,4.8,4.8,4.8,4.8,0
2024-04-26,4.8,4.8,4.8,4.8,400
2024-05-02,4.8,4.8,4.8,4.8,0
2024-05-03,5.5,5.5,5.3,5.3,1400
2024-05-06,5.3,5.3,5.0,5.2,900
2024-05-07,5.0,5.2,5.0,5.2,1200
2024-05-08,4.9,4.9,4.6,4.6,3000
2024-05-09,4.8,4.8,4.8,4.8,500
2024-05-10,4.7,5.0,4.7,4.9,1600
2024-05-13,4.8,4.8,4.8,4.8,0
2024-05-14,5.0,5.0,4.9,5.0,7700
2024-05-15,5.1,5.1,5.1,5.1,300
2024-05-16,5.1,5.1,5.1,5.1,1300
2024-05-17,5.1,5.1,5.1,5.1,200
2024-05-20,5.8,5.8,5.3,5.3,10900
2024-05-21,5.4,5.4,5.2,5.2,2200
2024-05-22,5.2,5.2,5.2,5.2,300
2024-05-23,5.3,5.3,5.3,5.3,100
2024-05-24,5.4,5.4,5.3,5.3,300
2024-05-27,5.4,5.4,5.4,5.4,0
2024-05-28,5.4,5.4,5.1,5.1,800
2024-05-29,5.2,5.2,5.2,5.2,0
2024-05-30,5.1,5.1,5.1,5.1,500
2024-05-31,5.0,5.0,5.0,5.0,1000
2024-06-03,5.2,5.2,5.2,5.2,100
2024-06-04,5.2,5.2,5.2,5.2,0
2024-06-05,5.2,5.2,5.0,5.0,523
2024-06-06,5.0,5.0,5.0,5.0,800
2024-06-07,5.0,5.0,5.0,5.0,0
2024-06-10,5.0,5.0,5.0,5.0,0
2024-06-11,5.2,5.3,5.2,5.3,1400
2024-06-12,5.3,5.3,5.3,5.3,0
2024-06-13,5.3,5.3,5.3,5.3,0
2024-06-14,5.3,5.3,5.3,5.3,0
2024-06-17,5.3,5.3,5.3,5.3,0
2024-06-18,5.3,5.3,5.3,5.3,0
2024-06-19,5.3,5.3,5.3,5.3,0
2024-06-20,5.3,5.3,5.3,5.3,0
2024-06-21,5.3,5.3,5.3,5.3,0
2024-06-24,4.8,5.0,4.8,5.0,4400
2024-06-25,5.0,5.0,5.0,5.0,300
2024-06-26,4.9,4.9,4.9,4.9,300
2024-06-27,4.9,4.9,4.9,4.9,0
2024-06-28,5.6,5.6,4.4,4.9,3100
2024-07-01,5.0,5.0,5.0,5.0,1000
2024-07-02,4.9,5.0,4.8,5.0,1100
2024-07-03,4.8,4.8,4.8,4.8,0
2024-07-04,4.9,5.1,4.9,5.1,300
2024-07-05,5.0,5.0,5.0,5.0,0
2024-07-08,5.0,5.0,5.0,5.0,0
2024-07-09,5.0,5.0,5.0,5.0,0
2024-07-10,5.0,5.0,5.0,5.0,0
2024-07-11,4.8,4.8,4.8,4.8,1600
2024-07-12,4.8,4.8,4.8,4.8,0
2024-07-15,4.8,4.8,4.8,4.8,0
2024-07-16,4.8,4.8,4.8,4.8,0
2024-07-17,4.8,4.8,4.8,4.8,500
2024-07-18,5.5,5.5,5.4,5.4,3200
2024-07-19,5.0,5.0,5.0,5.0,300
2024-07-22,5.0,5.0,5.0,5.0,0
2024-07-23,5.0,5.0,5.0,5.0,100
2024-07-24,5.0,5.0,5.0,5.0,0
2024-07-25,4.6,4.6,4.6,4.6,500
2024-07-26,4.9,4.9,4.9,4.9,100
2024-07-29,4.6,4.6,4.3,4.6,2600
2024-07-30,5.0,5.0,5.0,5.0,400
2024-08-01,4.8,4.8,4.8,4.8,2000
2024-08-02,5.2,5.2,5.2,5.2,300
2024-08-12,5.0,5.0,4.5,4.7,3000
2024-08-13,4.5,4.5,4.5,4.5,500
2024-08-14,4.6,4.6,4.6,4.6,500
2024-08-15,4.6,4.6,4.6,4.6,700
2024-08-16,4.6,5.2,4.6,5.2,1600
2024-08-20,4.8,4.8,4.8,4.8,300
2024-08-21,5.0,5.0,5.0,5.0,100
2024-08-23,4.9,4.9,4.9,4.9,200
2024-09-06,4.9,4.9,4.9,4.9,100
2024-09-10,4.6,4.6,4.6,4.6,200
2024-09-11,4.5,4.5,4.5,4.5,400
2024-09-16,4.9,4.9,4.9,4.9,200
2024-09-17,4.9,4.9,4.9,4.9,1000
2024-09-27,4.4,4.4,4.4,4.4,300
2024-09-30,4.8,4.8,4.4,4.4,1900
2024-10-01,4.5,4.5,4.4,4.4,600
2024-10-02,4.3,4.4,4.3,4.4,1900
